product_weight_g,product_length_cm,product_height_cm,product_width_cm,freight_value
300.0,23.0,2.0,16.0,18.23
8250.0,44.0,32.0,35.0,43.11
300.0,16.0,6.0,17.0,14.1
2100.0,36.0,9.0,14.0,29.39
200.0,16.0,15.0,15.0,21.75
260.0,19.0,7.0,13.0,16.43
1000.0,33.0,44.0,19.0,15.8
300.0,18.0,10.0,13.0,13.46
2750.0,70.0,5.0,15.0,23.22
300.0,17.0,4.0,12.0,19.18
1400.0,24.0,15.0,38.0,15.31
475.0,20.0,9.0,14.0,15.59
9900.0,30.0,39.0,38.0,21.62
50.0,25.0,11.0,15.0,18.54
2500.0,60.0,12.0,20.0,21.11
2050.0,40.0,40.0,30.0,65.56
700.0,20.0,50.0,40.0,19.67
950.0,25.0,10.0,36.0,8.9
429.0,20.0,12.0,14.0,14.84
7850.0,52.0,18.0,35.0,34.23
800.0,16.0,10.0,16.0,23.31
450.0,30.0,7.0,25.0,32.57
200.0,16.0,7.0,11.0,7.16
1000.0,40.0,28.0,28.0,17.67
23250.0,23.0,50.0,84.0,67.24
200.0,16.0,12.0,11.0,15.38
3950.0,16.0,103.0,25.0,34.07
3150.0,43.0,27.0,27.0,27.19
1300.0,33.0,10.0,49.0,14.45
300.0,25.0,16.0,16.0,16.89
127.0,18.0,10.0,14.0,8.21
1000.0,40.0,5.0,25.0,9.94
400.0,35.0,5.0,24.0,9.94
1600.0,18.0,22.0,17.0,28.58
870.0,19.0,17.0,15.0,18.44
1300.0,45.0,15.0,35.0,12.11
2275.0,45.0,25.0,18.0,18.54
100.0,16.0,3.0,11.0,14.1
15475.0,81.0,7.0,83.0,66.04
8100.0,30.0,36.0,46.0,23.64
183.0,16.0,18.0,16.0,11.85
250.0,16.0,10.0,11.0,18.58
1092.0,30.0,26.0,22.0,33.33
700.0,28.0,19.0,26.0,15.28
350.0,16.0,61.0,16.0,18.08
1800.0,30.0,30.0,30.0,12.9
710.0,33.0,14.0,15.0,8.89
533.0,20.0,8.0,11.0,35.74
350.0,19.0,12.0,13.0,27.75
217.0,18.0,4.0,13.0,50.85
173.0,18.0,13.0,12.0,17.03
500.0,20.0,11.0,15.0,9.8
584.0,16.0,11.0,13.0,0.0
321.0,19.0,14.0,13.0,34.39
2850.0,50.0,50.0,16.0,33.91
200.0,16.0,2.0,11.0,7.78
525.0,18.0,19.0,16.0,15.37
100.0,16.0,16.0,16.0,16.14
1350.0,27.0,9.0,18.0,13.84
1600.0,30.0,30.0,30.0,15.51
150.0,20.0,3.0,18.0,15.73
200.0,16.0,5.0,12.0,7.78
28600.0,41.0,43.0,91.0,85.97
700.0,35.0,14.0,11.0,10.96
1750.0,37.0,22.0,40.0,17.6
150.0,22.0,3.0,15.0,8.03
250.0,18.0,3.0,28.0,11.85
367.0,21.0,15.0,18.0,61.18
7700.0,28.0,55.0,37.0,27.39
1338.0,23.0,12.0,14.0,11.98
400.0,20.0,12.0,15.0,15.61
1000.0,42.0,25.0,15.0,19.75
1600.0,42.0,25.0,15.0,13.93
388.0,16.0,16.0,14.0,8.4
6550.0,20.0,20.0,20.0,40.37
200.0,16.0,2.0,11.0,16.79
450.0,23.0,8.0,15.0,15.01
325.0,18.0,25.0,21.0,12.27
88.0,16.0,7.0,12.0,25.9
3500.0,36.0,25.0,21.0,13.75
250.0,16.0,2.0,11.0,14.28
225.0,25.0,9.0,29.0,14.52
3300.0,78.0,20.0,38.0,14.84
150.0,16.0,16.0,16.0,18.12
100.0,16.0,5.0,16.0,13.58
910.0,32.0,14.0,15.0,16.6
925.0,52.0,21.0,33.0,16.25
700.0,24.0,5.0,24.0,54.02
350.0,25.0,16.0,16.0,20.31
710.0,19.0,13.0,14.0,16.22
7150.0,79.0,5.0,63.0,31.17
150.0,20.0,13.0,12.0,8.27
3875.0,95.0,22.0,22.0,11.85
4075.0,73.0,14.0,48.0,87.28
725.0,31.0,7.0,31.0,13.71
595.0,8.0,6.0,6.0,20.85
700.0,60.0,11.0,11.0,16.17
250.0,22.0,11.0,16.0,15.79
300.0,22.0,15.0,22.0,16.44
180.0,17.0,10.0,13.0,13.89
800.0,36.0,31.0,26.0,20.8
2200.0,16.0,2.0,11.0,14.14
500.0,18.0,6.0,21.0,11.99
100.0,16.0,5.0,20.0,7.78
150.0,21.0,4.0,19.0,7.39
250.0,16.0,2.0,11.0,14.1
9000.0,42.0,12.0,39.0,43.06
10050.0,50.0,30.0,40.0,30.35
317.0,17.0,11.0,12.0,12.79
1700.0,30.0,35.0,25.0,14.06
16000.0,16.0,2.0,11.0,12.46
550.0,30.0,20.0,20.0,14.9
250.0,16.0,2.0,11.0,8.16
950.0,40.0,20.0,12.0,15.71
300.0,20.0,15.0,18.0,10.96
500.0,28.0,3.0,19.0,14.83
19200.0,58.0,40.0,50.0,82.86
150.0,16.0,16.0,11.0,7.39
7474.0,54.0,29.0,40.0,13.95
1450.0,45.0,10.0,15.0,18.69
490.0,18.0,11.0,13.0,16.0
200.0,21.0,13.0,26.0,15.1
650.0,16.0,15.0,13.0,16.11
150.0,19.0,15.0,15.0,14.1
200.0,18.0,9.0,16.0,10.7
1300.0,20.0,30.0,30.0,17.95
800.0,45.0,15.0,35.0,15.24
150.0,35.0,8.0,11.0,23.13
350.0,27.0,13.0,17.0,19.03
1000.0,42.0,25.0,15.0,11.73
540.0,23.0,13.0,19.0,10.63
250.0,16.0,2.0,20.0,7.65
650.0,18.0,18.0,18.0,16.69
250.0,41.0,2.0,29.0,18.23
75.0,16.0,10.0,11.0,18.23
1150.0,27.0,22.0,39.0,13.0
900.0,28.0,29.0,12.0,9.44
600.0,74.0,15.0,15.0,27.39
12250.0,62.0,27.0,47.0,36.85
245.0,18.0,12.0,13.0,15.23
100.0,24.0,2.0,17.0,34.15
5650.0,40.0,15.0,23.0,8.74
2500.0,33.0,31.0,23.0,21.44
4500.0,24.0,19.0,18.0,37.09
900.0,30.0,30.0,16.0,15.56
300.0,16.0,2.0,11.0,7.53
1110.0,20.0,20.0,18.0,11.62
4105.0,67.0,10.0,67.0,25.66
850.0,24.0,20.0,24.0,18.57
900.0,26.0,19.0,23.0,14.35
100.0,16.0,35.0,11.0,7.87
100.0,16.0,11.0,11.0,7.39
6300.0,42.0,20.0,32.0,39.41
200.0,16.0,16.0,16.0,14.8
250.0,40.0,10.0,25.0,42.76
2450.0,30.0,30.0,30.0,13.47
548.0,20.0,10.0,16.0,12.44
422.0,18.0,12.0,15.0,7.86
450.0,20.0,30.0,30.0,8.59
1400.0,27.0,9.0,11.0,10.68
3900.0,31.0,13.0,13.0,31.16
5450.0,20.0,20.0,20.0,47.4
2200.0,40.0,15.0,27.0,21.49
350.0,25.0,8.0,19.0,18.23
2550.0,20.0,20.0,30.0,12.92
400.0,19.0,13.0,19.0,23.34
300.0,17.0,7.0,12.0,15.1
300.0,17.0,4.0,12.0,15.1
625.0,23.0,10.0,14.0,34.15
550.0,21.0,12.0,20.0,15.34
350.0,22.0,8.0,19.0,8.82
175.0,22.0,9.0,12.0,8.86
14600.0,84.0,8.0,84.0,41.53
230.0,16.0,14.0,15.0,7.75
200.0,16.0,16.0,13.0,7.78
200.0,16.0,10.0,16.0,7.39
150.0,16.0,12.0,12.0,11.85
2841.0,40.0,23.0,26.0,22.99
2250.0,16.0,25.0,11.0,21.43
517.0,22.0,11.0,13.0,22.56
2200.0,54.0,9.0,28.0,18.5
100.0,19.0,3.0,20.0,14.1
2600.0,50.0,10.0,30.0,0.0
2000.0,45.0,15.0,35.0,12.27
350.0,25.0,11.0,15.0,22.3
1450.0,23.0,32.0,23.0,14.51
200.0,16.0,16.0,16.0,12.48
150.0,16.0,16.0,11.0,7.53
150.0,16.0,5.0,17.0,7.46
16550.0,40.0,60.0,40.0,65.34
2500.0,40.0,10.0,30.0,23.57
250.0,20.0,20.0,20.0,19.32
2600.0,40.0,45.0,39.0,30.66
250.0,16.0,2.0,11.0,19.25
600.0,16.0,11.0,11.0,9.26
575.0,16.0,18.0,17.0,25.73
3000.0,30.0,30.0,30.0,17.87
350.0,16.0,15.0,16.0,23.33
4338.0,17.0,12.0,14.0,13.68
150.0,18.0,9.0,11.0,26.61
50.0,20.0,15.0,15.0,26.26
100.0,16.0,5.0,16.0,7.68
175.0,22.0,11.0,15.0,15.23
600.0,26.0,2.0,20.0,16.11
850.0,22.0,7.0,17.0,16.6
100.0,17.0,9.0,14.0,14.59
150.0,17.0,6.0,11.0,11.85
6250.0,53.0,23.0,28.0,21.19
1750.0,20.0,16.0,30.0,11.15
700.0,32.0,15.0,21.0,39.66
1450.0,30.0,30.0,30.0,23.07
1110.0,19.0,11.0,18.0,15.1
1400.0,20.0,20.0,20.0,16.6
275.0,18.0,4.0,12.0,14.1
501.0,18.0,13.0,14.0,19.01
250.0,22.0,10.0,18.0,7.88
550.0,20.0,20.0,20.0,15.69
775.0,21.0,18.0,26.0,15.8
800.0,35.0,12.0,15.0,52.69
500.0,16.0,15.0,15.0,15.8
600.0,26.0,12.0,13.0,15.8
200.0,17.0,13.0,13.0,13.81
250.0,16.0,2.0,11.0,7.8
400.0,16.0,17.0,11.0,12.48
500.0,22.0,14.0,21.0,18.93
4250.0,20.0,20.0,20.0,20.18
200.0,16.0,16.0,16.0,7.39
1100.0,31.0,20.0,26.0,20.39
2550.0,42.0,17.0,32.0,16.61
150.0,22.0,12.0,14.0,12.48
200.0,17.0,8.0,12.0,16.79
250.0,28.0,6.0,31.0,15.1
450.0,32.0,12.0,17.0,13.07
1900.0,90.0,14.0,18.0,67.69
150.0,20.0,24.0,33.0,7.39
850.0,40.0,30.0,30.0,18.35
200.0,20.0,7.0,15.0,14.1
7900.0,35.0,55.0,25.0,13.91
150.0,20.0,13.0,18.0,15.1
8700.0,19.0,48.0,27.0,15.2
18800.0,40.0,30.0,50.0,25.13
1350.0,41.0,10.0,35.0,18.0
1550.0,23.0,12.0,16.0,25.12
600.0,100.0,5.0,11.0,11.74
900.0,45.0,12.0,45.0,15.1
1655.0,30.0,30.0,20.0,18.13
1400.0,30.0,30.0,30.0,26.84
900.0,42.0,8.0,40.0,9.17
342.0,17.0,9.0,12.0,14.68
400.0,17.0,7.0,15.0,14.59
500.0,35.0,7.0,27.0,15.11
325.0,19.0,8.0,22.0,21.17
3500.0,24.0,15.0,17.0,18.69
350.0,19.0,11.0,23.0,19.0
250.0,28.0,28.0,28.0,22.34
1250.0,45.0,10.0,15.0,20.18
1833.0,21.0,19.0,22.0,23.52
275.0,18.0,4.0,12.0,11.85
400.0,20.0,4.0,12.0,14.52
550.0,20.0,16.0,30.0,34.22
300.0,16.0,16.0,16.0,15.33
675.0,23.0,15.0,14.0,9.26
3250.0,31.0,43.0,21.0,13.77
12250.0,45.0,35.0,45.0,97.56
900.0,18.0,9.0,27.0,35.98
200.0,41.0,2.0,29.0,20.8
900.0,25.0,12.0,38.0,29.3
1700.0,65.0,6.0,50.0,33.23
416.0,18.0,9.0,13.0,12.84
9050.0,39.0,12.0,42.0,35.07
1100.0,22.0,27.0,22.0,14.82
400.0,25.0,20.0,20.0,15.3
400.0,19.0,12.0,13.0,24.56
600.0,16.0,16.0,16.0,17.69
2850.0,69.0,11.0,11.0,23.17
483.0,17.0,11.0,13.0,19.33
150.0,16.0,5.0,20.0,14.1
150.0,17.0,10.0,13.0,15.37
550.0,16.0,7.0,11.0,16.0
450.0,22.0,14.0,27.0,19.03
575.0,25.0,13.0,14.0,21.85
8683.0,54.0,64.0,31.0,21.88
350.0,17.0,5.0,19.0,13.33
950.0,20.0,35.0,20.0,16.11
117.0,16.0,11.0,13.0,17.07
340.0,17.0,13.0,13.0,14.96
800.0,35.0,15.0,20.0,16.11
300.0,25.0,15.0,25.0,13.26
1500.0,30.0,22.0,30.0,13.37
250.0,16.0,7.0,11.0,21.18
1350.0,45.0,10.0,55.0,14.8
303.0,19.0,11.0,16.0,19.98
450.0,38.0,12.0,20.0,9.34
1825.0,53.0,10.0,40.0,23.35
500.0,18.0,8.0,13.0,9.27
1450.0,30.0,30.0,30.0,17.22
8350.0,50.0,27.0,38.0,21.43
800.0,20.0,20.0,20.0,15.11
800.0,20.0,10.0,20.0,23.65
6500.0,30.0,35.0,30.0,60.81
2750.0,50.0,50.0,16.0,32.07
7750.0,34.0,33.0,33.0,32.79
850.0,20.0,25.0,20.0,19.44
133.0,18.0,5.0,13.0,14.52
800.0,42.0,8.0,26.0,35.67
150.0,16.0,10.0,12.0,18.38
1950.0,36.0,5.0,23.0,14.77
350.0,18.0,13.0,18.0,9.34
300.0,16.0,16.0,16.0,19.72
350.0,27.0,9.0,19.0,18.26
300.0,16.0,5.0,16.0,16.79
100.0,19.0,3.0,11.0,10.96
250.0,16.0,2.0,11.0,16.11
4300.0,30.0,30.0,30.0,18.4
1867.0,36.0,6.0,36.0,20.84
900.0,25.0,32.0,25.0,17.6
400.0,16.0,2.0,11.0,8.02
4600.0,60.0,19.0,50.0,26.1
417.0,16.0,15.0,14.0,15.25
500.0,20.0,20.0,20.0,10.29
1400.0,40.0,10.0,30.0,18.14
500.0,50.0,11.0,11.0,8.72
200.0,28.0,2.0,11.0,11.85
2200.0,30.0,35.0,30.0,15.85
3100.0,60.0,16.0,16.0,35.37
23800.0,80.0,12.0,22.0,26.71
10100.0,31.0,61.0,31.0,28.53
11900.0,20.0,10.0,20.0,20.12
1500.0,40.0,25.0,20.0,28.96
300.0,16.0,11.0,11.0,15.15
400.0,16.0,6.0,11.0,8.72
233.0,16.0,5.0,13.0,34.15
1700.0,32.0,5.0,26.0,14.12
550.0,17.0,8.0,16.0,16.79
350.0,19.0,13.0,19.0,20.65
100.0,20.0,3.0,15.0,15.23
11325.0,18.0,105.0,30.0,15.48
5100.0,47.0,19.0,23.0,14.51
225.0,18.0,10.0,16.0,18.65
225.0,19.0,12.0,15.0,18.43
325.0,18.0,18.0,16.0,14.1
900.0,30.0,30.0,40.0,13.24
14150.0,100.0,15.0,15.0,79.94
850.0,27.0,13.0,21.0,13.82
640.0,16.0,11.0,14.0,43.49
26000.0,67.0,57.0,46.0,98.13
500.0,16.0,10.0,16.0,19.34
30000.0,58.0,55.0,44.0,78.63
1500.0,105.0,7.0,25.0,16.81
700.0,25.0,12.0,19.0,63.11
450.0,42.0,10.0,25.0,15.44
100.0,17.0,10.0,15.0,7.87
371.0,20.0,16.0,16.0,24.7
350.0,19.0,17.0,15.0,24.7
473.0,21.0,16.0,13.0,10.13
100.0,17.0,6.0,11.0,15.1
1000.0,36.0,9.0,20.0,11.98
14050.0,54.0,20.0,40.0,22.63
2100.0,45.0,20.0,25.0,16.47
300.0,17.0,4.0,12.0,14.1
1050.0,32.0,5.0,30.0,14.7
200.0,23.0,11.0,15.0,16.06
19500.0,25.0,60.0,55.0,21.2
400.0,20.0,5.0,21.0,17.28
900.0,44.0,40.0,16.0,16.72
200.0,18.0,4.0,12.0,15.16
333.0,19.0,19.0,21.0,53.83
488.0,19.0,12.0,15.0,16.5
350.0,27.0,4.0,34.0,8.29
750.0,55.0,14.0,38.0,16.53
150.0,25.0,7.0,16.0,14.1
1625.0,17.0,39.0,18.0,19.25
150.0,16.0,2.0,11.0,16.11
200.0,16.0,5.0,15.0,16.79
2416.0,32.0,28.0,23.0,27.41
250.0,16.0,2.0,11.0,15.83
200.0,16.0,5.0,11.0,15.29
2500.0,45.0,7.0,50.0,17.18
150.0,19.0,9.0,12.0,5.31
100.0,17.0,6.0,11.0,9.57
1750.0,30.0,30.0,30.0,18.56
1850.0,37.0,22.0,40.0,33.93
1800.0,37.0,22.0,40.0,12.48
350.0,28.0,6.0,20.0,17.06
250.0,18.0,9.0,11.0,17.26
1250.0,26.0,10.0,18.0,16.94
3675.0,28.0,33.0,25.0,18.83
450.0,16.0,14.0,14.0,18.0
600.0,30.0,3.0,20.0,12.65
600.0,30.0,3.0,20.0,12.71
700.0,30.0,3.0,20.0,12.71
1550.0,30.0,22.0,30.0,0.0
100.0,16.0,11.0,9.0,15.1
1400.0,48.0,10.0,33.0,28.99
750.0,81.0,6.0,11.0,8.88
100.0,17.0,3.0,12.0,15.1
1900.0,23.0,50.0,20.0,11.15
640.0,22.0,15.0,17.0,15.32
900.0,44.0,2.0,36.0,12.9
1000.0,30.0,30.0,30.0,14.08
8600.0,50.0,40.0,50.0,81.62
200.0,19.0,9.0,12.0,14.52
1250.0,19.0,12.0,12.0,14.7
5950.0,20.0,20.0,20.0,38.47
541.0,21.0,15.0,16.0,13.41
1300.0,44.0,2.0,35.0,17.88
1650.0,44.0,2.0,35.0,17.88
450.0,30.0,20.0,20.0,21.35
550.0,17.0,9.0,13.0,8.36
450.0,16.0,4.0,20.0,8.88
1032.0,17.0,15.0,16.0,25.73
1200.0,42.0,25.0,15.0,18.21
1150.0,42.0,11.0,12.0,17.98
50.0,16.0,5.0,11.0,7.78
200.0,21.0,17.0,17.0,16.79
547.0,22.0,13.0,21.0,16.32
1588.0,48.0,12.0,44.0,23.35
765.0,35.0,20.0,48.0,23.35
450.0,20.0,12.0,12.0,19.21
675.0,22.0,24.0,21.0,16.95
100.0,29.0,5.0,15.0,8.72
550.0,22.0,4.0,28.0,15.1
400.0,18.0,12.0,14.0,16.07
800.0,39.0,6.0,28.0,13.11
700.0,35.0,7.0,27.0,14.73
2444.0,45.0,22.0,41.0,16.74
1067.0,32.0,13.0,22.0,46.67
4475.0,44.0,24.0,31.0,11.9
200.0,16.0,14.0,12.0,3.81
450.0,23.0,23.0,20.0,19.72
400.0,20.0,20.0,20.0,14.1
850.0,18.0,21.0,15.0,23.31
100.0,28.0,17.0,11.0,11.85
6750.0,30.0,20.0,20.0,23.69
1200.0,28.0,8.0,13.0,8.88
150.0,31.0,3.0,28.0,18.24
1400.0,26.0,25.0,25.0,23.75
480.0,27.0,16.0,15.0,12.69
150.0,25.0,7.0,16.0,14.1
1813.0,67.0,12.0,47.0,14.31
300.0,18.0,8.0,20.0,18.34
300.0,17.0,4.0,12.0,7.78
119.0,17.0,10.0,13.0,15.3
900.0,20.0,35.0,45.0,20.51
250.0,40.0,10.0,25.0,12.69
6400.0,63.0,11.0,63.0,20.09
7150.0,65.0,10.0,65.0,16.71
100.0,16.0,13.0,16.0,14.14
15350.0,47.0,40.0,47.0,37.54
6550.0,38.0,30.0,28.0,38.45
200.0,25.0,10.0,20.0,7.78
15742.0,16.0,95.0,33.0,53.11
100.0,16.0,4.0,11.0,18.23
700.0,30.0,40.0,50.0,11.97
200.0,16.0,2.0,11.0,15.3
200.0,16.0,20.0,20.0,8.37
700.0,26.0,7.0,26.0,9.26
448.0,22.0,17.0,17.0,26.54
30000.0,62.0,55.0,60.0,94.98
2800.0,43.0,5.0,30.0,25.54
1300.0,40.0,10.0,34.0,24.9
200.0,16.0,12.0,20.0,15.1
300.0,21.0,5.0,14.0,7.78
5200.0,45.0,15.0,35.0,16.36
750.0,16.0,5.0,20.0,9.76
225.0,17.0,6.0,13.0,7.78
2900.0,35.0,12.0,30.0,15.14
200.0,22.0,10.0,18.0,7.78
150.0,20.0,10.0,15.0,7.87
6150.0,52.0,16.0,44.0,23.55
1200.0,20.0,25.0,20.0,8.3
467.0,22.0,34.0,21.0,22.68
2600.0,36.0,13.0,36.0,22.58
300.0,16.0,2.0,20.0,11.85
400.0,21.0,7.0,15.0,16.67
100.0,25.0,2.0,16.0,34.15
600.0,29.0,12.0,23.0,17.19
100.0,16.0,3.0,11.0,7.78
150.0,16.0,13.0,21.0,7.78
900.0,16.0,16.0,16.0,18.52
200.0,19.0,5.0,11.0,7.78
7000.0,26.0,47.0,27.0,21.26
6850.0,59.0,22.0,37.0,17.85
450.0,35.0,2.0,25.0,19.42
342.0,18.0,13.0,15.0,24.11
10050.0,37.0,61.0,26.0,25.81
350.0,20.0,8.0,13.0,15.1
250.0,41.0,2.0,29.0,16.79
5300.0,30.0,35.0,30.0,10.7
2500.0,30.0,6.0,30.0,26.75
1013.0,30.0,15.0,16.0,16.11
600.0,60.0,9.0,50.0,15.17
680.0,47.0,7.0,18.0,9.34
400.0,23.0,3.0,23.0,7.39
250.0,18.0,8.0,18.0,7.39
1750.0,45.0,15.0,35.0,15.33
1600.0,45.0,15.0,35.0,15.34
150.0,18.0,6.0,14.0,15.28
150.0,17.0,8.0,14.0,34.15
4050.0,17.0,11.0,13.0,16.39
2950.0,53.0,21.0,36.0,25.96
250.0,20.0,2.0,15.0,9.09
50.0,20.0,2.0,15.0,9.09
4450.0,28.0,14.0,28.0,11.74
129.0,22.0,4.0,20.0,18.41
4900.0,50.0,10.0,45.0,23.25
200.0,35.0,2.0,25.0,15.1
400.0,18.0,11.0,11.0,15.15
5750.0,40.0,25.0,30.0,16.16
100.0,28.0,13.0,12.0,8.27
5600.0,25.0,37.0,36.0,15.11
500.0,30.0,12.0,17.0,18.31
530.0,30.0,9.0,14.0,9.94
2100.0,95.0,25.0,20.0,43.4
50.0,20.0,20.0,20.0,9.09
50.0,20.0,16.0,12.0,29.07
150.0,20.0,10.0,20.0,18.28
550.0,34.0,14.0,14.0,17.1
100.0,20.0,2.0,25.0,25.65
1250.0,26.0,21.0,20.0,38.46
2850.0,32.0,52.0,19.0,27.96
11800.0,61.0,61.0,19.0,85.59
4650.0,37.0,20.0,34.0,57.94
1450.0,16.0,25.0,11.0,15.39
88.0,16.0,16.0,12.0,12.97
150.0,20.0,20.0,20.0,14.49
600.0,17.0,17.0,17.0,35.67
3750.0,40.0,16.0,25.0,16.96
1450.0,30.0,15.0,30.0,12.76
189.0,17.0,15.0,15.0,21.71
135.0,17.0,4.0,12.0,15.1
13450.0,56.0,40.0,36.0,58.91
3000.0,33.0,12.0,34.0,28.5
1033.0,31.0,17.0,22.0,29.34
1400.0,21.0,16.0,16.0,15.13
250.0,20.0,8.0,21.0,8.72
280.0,20.0,15.0,14.0,8.0
1700.0,19.0,27.0,40.0,18.53
238.0,20.0,10.0,15.0,7.79
16100.0,35.0,65.0,44.0,24.05
900.0,22.0,15.0,22.0,13.72
500.0,20.0,35.0,20.0,19.32
346.0,18.0,10.0,13.0,18.0
550.0,17.0,9.0,27.0,15.81
1825.0,44.0,14.0,34.0,27.51
6950.0,16.0,104.0,35.0,29.23
250.0,16.0,6.0,14.0,15.11
1925.0,30.0,33.0,28.0,25.62
700.0,68.0,8.0,13.0,8.88
546.0,16.0,15.0,15.0,24.5
750.0,16.0,20.0,16.0,38.83
10900.0,68.0,30.0,32.0,58.11
14925.0,53.0,54.0,18.0,57.31
450.0,17.0,3.0,11.0,14.35
330.0,16.0,11.0,12.0,8.44
75.0,17.0,8.0,13.0,7.71
1050.0,31.0,22.0,33.0,13.69
850.0,45.0,10.0,35.0,20.54
300.0,17.0,4.0,12.0,15.1
267.0,24.0,15.0,12.0,15.1
1350.0,30.0,20.0,20.0,9.36
133.0,20.0,10.0,16.0,15.37
9400.0,75.0,15.0,50.0,12.72
180.0,16.0,9.0,16.0,8.27
438.0,19.0,10.0,16.0,17.38
1100.0,16.0,15.0,15.0,16.6
150.0,20.0,10.0,20.0,18.7
5800.0,30.0,30.0,20.0,34.69
150.0,16.0,6.0,11.0,13.03
20450.0,35.0,35.0,35.0,19.74
1250.0,16.0,10.0,16.0,16.17
1200.0,25.0,12.0,25.0,10.68
800.0,60.0,15.0,15.0,21.19
1000.0,43.0,11.0,37.0,15.41
1136.0,26.0,29.0,21.0,24.86
1038.0,41.0,22.0,28.0,18.28
300.0,22.0,6.0,16.0,15.52
1250.0,23.0,23.0,23.0,22.98
300.0,17.0,12.0,14.0,15.1
313.0,24.0,15.0,14.0,12.79
550.0,16.0,14.0,17.0,12.69
2900.0,47.0,9.0,47.0,21.66
3000.0,20.0,62.0,35.0,41.92
1975.0,41.0,13.0,31.0,25.61
275.0,24.0,8.0,12.0,14.52
16650.0,63.0,58.0,24.0,33.59
900.0,86.0,4.0,20.0,9.41
175.0,23.0,21.0,21.0,9.94
1150.0,26.0,25.0,23.0,18.36
500.0,50.0,11.0,40.0,12.69
1277.0,30.0,25.0,27.0,19.41
250.0,16.0,12.0,14.0,11.15
550.0,28.0,4.0,22.0,15.1
800.0,28.0,5.0,18.0,25.66
450.0,16.0,7.0,11.0,14.85
250.0,40.0,4.0,30.0,16.79
838.0,28.0,14.0,21.0,12.99
125.0,19.0,5.0,11.0,18.23
1550.0,29.0,5.0,21.0,31.6
9400.0,75.0,15.0,50.0,18.02
700.0,40.0,45.0,25.0,35.74
150.0,18.0,12.0,15.0,15.1
800.0,30.0,20.0,40.0,11.81
525.0,23.0,11.0,16.0,17.44
250.0,16.0,4.0,20.0,16.94
1300.0,33.0,9.0,38.0,17.8
300.0,25.0,16.0,16.0,18.23
200.0,19.0,4.0,11.0,7.78
2450.0,20.0,30.0,22.0,26.04
1650.0,40.0,45.0,25.0,16.86
150.0,19.0,4.0,11.0,7.78
8600.0,60.0,20.0,29.0,17.87
5300.0,51.0,22.0,34.0,29.11
100.0,18.0,12.0,16.0,22.06
400.0,20.0,2.0,15.0,8.64
472.0,18.0,19.0,18.0,25.24
550.0,28.0,12.0,12.0,2.27
6900.0,28.0,55.0,37.0,59.78
150.0,16.0,17.0,14.0,15.26
1300.0,30.0,10.0,30.0,12.72
50.0,16.0,3.0,11.0,14.1
6750.0,54.0,18.0,53.0,46.39
150.0,22.0,8.0,12.0,16.79
2700.0,30.0,11.0,20.0,14.62
2450.0,35.0,10.0,35.0,27.84
3575.0,21.0,18.0,22.0,13.54
7400.0,54.0,53.0,20.0,34.16
200.0,25.0,7.0,16.0,18.23
1850.0,56.0,12.0,39.0,15.21
10100.0,64.0,8.0,64.0,43.98
450.0,16.0,7.0,11.0,18.91
150.0,16.0,16.0,20.0,16.23
